Date,Close,High,Low,Open,Volume
2025-05-01,1.5499999523162842,1.8899999856948853,1.5099999904632568,1.7599999904632568,323970
2025-05-02,1.5300999879837036,1.5753999948501587,1.4129999876022339,1.5299999713897705,143731
2025-05-05,1.559999942779541,1.679900050163269,1.5199999809265137,1.5399999618530273,97476
2025-05-06,1.649999976158142,1.6799999475479126,1.4900000095367432,1.4900000095367432,384719
2025-05-07,1.5399999618530273,1.659999966621399,1.4800000190734863,1.659999966621399,59548
2025-05-08,1.4900000095367432,1.5800000429153442,1.410099983215332,1.5800000429153442,68529
2025-05-09,1.5099999904632568,1.5276000499725342,1.4800000190734863,1.5,6298
2025-05-12,1.559999942779541,1.5808000564575195,1.4500000476837158,1.4500000476837158,41493
2025-05-13,1.440000057220459,1.5700000524520874,1.4299999475479126,1.559999942779541,28791
2025-05-14,1.399999976158142,1.4450000524520874,1.3200000524520874,1.409999966621399,36477
2025-05-15,1.3250000476837158,1.3799999952316284,1.2599999904632568,1.3600000143051147,40061
2025-05-16,1.3300000429153442,1.3597999811172485,1.2625000476837158,1.2699999809265137,25553
2025-05-19,1.4335999488830566,1.496999979019165,1.2799999713897705,1.350000023841858,65564
2025-05-20,1.4800000190734863,1.5049999952316284,1.399999976158142,1.5049999952316284,26965
2025-05-21,1.350000023841858,1.4800000190734863,1.350000023841858,1.4299999475479126,8443
2025-05-22,1.3700000047683716,1.3899999856948853,1.350000023841858,1.3799999952316284,3868
2025-05-23,1.3575999736785889,1.3899999856948853,1.2888799905776978,1.3899999856948853,42139
2025-05-27,1.4299999475479126,1.4500000476837158,1.3200000524520874,1.3200000524520874,5776
2025-05-28,1.4146000146865845,1.440000057220459,1.3882999420166016,1.3899999856948853,12743
2025-05-29,1.4800000190734863,1.4886000156402588,1.3799999952316284,1.3799999952316284,7788
2025-05-30,1.4522000551223755,1.5,1.399999976158142,1.4900000095367432,22725
2025-06-02,1.4800000190734863,1.4900000095367432,1.4155999422073364,1.440000057220459,7181
2025-06-03,1.5601999759674072,1.6200000047683716,1.409999966621399,1.4800000190734863,84850
2025-06-04,1.5760999917984009,1.590000033378601,1.5498000383377075,1.5700000524520874,8030
2025-06-05,1.5099999904632568,1.6399999856948853,1.4601000547409058,1.6399999856948853,28505
2025-06-06,1.5098999738693237,1.5098999738693237,1.4300999641418457,1.4600000381469727,23541
2025-06-09,1.600000023841858,1.6399999856948853,1.5499999523162842,1.559999942779541,39113
2025-06-10,1.590000033378601,1.6799999475479126,1.5499999523162842,1.649999976158142,76449
2025-06-11,1.5700000524520874,1.6699999570846558,1.5307999849319458,1.6699999570846558,8029
2025-06-12,1.3700000047683716,1.600000023841858,1.350000023841858,1.5299999713897705,111547
2025-06-13,1.2899999618530273,1.409999966621399,1.2599999904632568,1.2899999618530273,40496
2025-06-16,1.3200000524520874,1.3899999856948853,1.3200000524520874,1.3300000429153442,14273
2025-06-17,1.440000057220459,1.5800000429153442,1.2999999523162842,1.5800000429153442,30354
2025-06-18,1.4299999475479126,1.4500000476837158,1.3700000047683716,1.427899956703186,5422
2025-06-20,1.340000033378601,1.4600000381469727,1.3300000429153442,1.4600000381469727,29731
2025-06-23,1.309999942779541,1.3600000143051147,1.3000999689102173,1.3600000143051147,22141
2025-06-24,1.5368000268936157,1.5399999618530273,1.3799999952316284,1.399999976158142,74567
2025-06-25,1.659999966621399,1.75,1.5299999713897705,1.590000033378601,111937
2025-06-26,1.76010000705719,1.7799999713897705,1.6109000444412231,1.7599999904632568,52774
2025-06-27,1.8025000095367432,1.8487999439239502,1.7200000286102295,1.7799999713897705,41410
2025-06-30,1.9401999711990356,1.9500000476837158,1.7899999618530273,1.8300000429153442,68399
2025-07-01,1.7799999713897705,1.9600000381469727,1.7300000190734863,1.9600000381469727,51308
2025-07-02,1.8200000524520874,1.850000023841858,1.7483999729156494,1.7999999523162842,17195
2025-07-03,1.8600000143051147,1.8700000047683716,1.7288000583648682,1.850000023841858,12482
2025-07-07,1.6900999546051025,1.859820008277893,1.600000023841858,1.840000033378601,75567
2025-07-08,1.7599999904632568,1.8487999439239502,1.700600028038025,1.700600028038025,9304
2025-07-09,1.7599999904632568,1.8799999952316284,1.7300000190734863,1.7599999904632568,14733
2025-07-10,1.7699999809265137,1.7899999618530273,1.7000999450683594,1.7799999713897705,24034
2025-07-11,1.7300000190734863,1.7999999523162842,1.7101000547409058,1.7799999713897705,18514
2025-07-14,1.690000057220459,1.8099000453948975,1.649999976158142,1.75,109505
2025-07-15,1.6799999475479126,1.8200000524520874,1.600000023841858,1.7300000190734863,124535
2025-07-16,1.6299999952316284,1.690000057220459,1.6100000143051147,1.649999976158142,45536
2025-07-17,1.649999976158142,1.7417999505996704,1.6299999952316284,1.6299999952316284,43064
2025-07-18,1.690000057220459,1.75,1.6649999618530273,1.7100000381469727,70516
2025-07-21,1.6640000343322754,1.7000000476837158,1.649999976158142,1.7000000476837158,83820
2025-07-22,1.6200000047683716,1.6791000366210938,1.6200000047683716,1.6399999856948853,10013
2025-07-23,1.659999966621399,1.6611000299453735,1.6100000143051147,1.6100000143051147,19703
2025-07-24,1.5299999713897705,1.6449999809265137,1.5,1.6130000352859497,36047
2025-07-25,1.49399995803833,1.5399999618530273,1.49399995803833,1.5399999618530273,30817
2025-07-28,1.4600000381469727,1.527400016784668,1.4557000398635864,1.5160000324249268,14554
2025-07-29,1.340000033378601,1.4723000526428223,1.340000033378601,1.4700000286102295,60810
2025-07-30,1.3200000524520874,1.340000033378601,1.309999942779541,1.309999942779541,38300
2025-07-31,1.2450000047683716,1.3200000524520874,1.2450000047683716,1.3200000524520874,11946
2025-08-01,1.2400000095367432,1.2599999904632568,1.2100000381469727,1.25,17180
2025-08-04,1.3300000429153442,1.3600000143051147,1.239400029182434,1.239400029182434,63235
2025-08-05,1.2200000286102295,1.350000023841858,1.2000000476837158,1.2999999523162842,81590
2025-08-06,1.2100000381469727,1.2594000101089478,1.2000000476837158,1.2400000095367432,20647
2025-08-07,1.2599999904632568,1.3200000524520874,1.222000002861023,1.2599999904632568,18033
2025-08-08,1.2339999675750732,1.2599999904632568,1.2339999675750732,1.2599999904632568,6256
2025-08-11,1.2000000476837158,1.2997000217437744,1.1740000247955322,1.2699999809265137,44549
2025-08-12,1.399999976158142,1.409999966621399,1.2200000286102295,1.2200000286102295,51832
2025-08-13,1.3200000524520874,1.659999966621399,1.2799999713897705,1.4700000286102295,1673315
2025-08-14,1.3200000524520874,1.3200000524520874,1.149999976158142,1.2699999809265137,79821
2025-08-15,1.350000023841858,1.350000023841858,1.2599999904632568,1.2599999904632568,23627
2025-08-18,1.2999999523162842,1.3700000047683716,1.2699999809265137,1.3700000047683716,31987
2025-08-19,1.1699999570846558,1.2649999856948853,1.0805000066757202,1.2598999738693237,126426
2025-08-20,3.5899999141693115,4.049900054931641,1.340000033378601,1.4149999618530273,367092804
2025-08-21,4.96999979019165,6.090000152587891,4.130000114440918,4.965000152587891,113566531
2025-08-22,4.71999979019165,5.340000152587891,4.309999942779541,4.5,12839700
2025-08-25,7.710000038146973,9.079999923706055,4.800000190734863,4.96999979019165,79523240
2025-08-26,6.110000133514404,8.050000190734863,5.760000228881836,7.949999809265137,9987394
2025-08-27,4.960000038146973,6.039999961853027,4.940000057220459,5.650000095367432,4239236
2025-08-28,6.050000190734863,7.179999828338623,4.980000019073486,4.980000019073486,20284139
2025-08-29,5.949999809265137,7.25,5.760000228881836,6.489999771118164,5506374
2025-09-02,5.199999809265137,5.800000190734863,5.099999904632568,5.554999828338623,1619514
2025-09-03,4.769999980926514,5.230000019073486,4.539999961853027,5.119999885559082,1291538
2025-09-04,3.990000009536743,4.769999980926514,3.7000999450683594,4.71999979019165,1608330
2025-09-05,3.680000066757202,4.699999809265137,3.571000099182129,4.190000057220459,2414907
2025-09-08,2.9600000381469727,3.630000114440918,2.941499948501587,3.509999990463257,1395418
2025-09-09,2.7899999618530273,3.140000104904175,2.75,2.8299999237060547,991908
2025-09-10,3.049999952316284,3.4600000381469727,2.809999942779541,2.809999942779541,1824206
2025-09-11,3.130000114440918,3.200000047683716,2.9200000762939453,2.9200000762939453,823104
2025-09-12,3.140000104904175,3.45989990234375,3.130000114440918,3.319999933242798,730149
2025-09-15,2.940000057220459,3.259200096130371,2.822000026702881,3.119999885559082,633420
2025-09-16,2.880000114440918,2.990000009536743,2.809999942779541,2.9800000190734863,350051
2025-09-17,2.680000066757202,2.869999885559082,2.5399999618530273,2.7899999618530273,747300
