Date,Close,High,Low,Open,Volume
2025-05-01,275.14788818359375,279.12317899258244,273.4899117944873,278.308733931455,2942700
2025-05-02,272.6658020019531,282.73974177697283,266.82893006777095,282.63310197908476,4537000
2025-05-05,271.54107666015625,273.3929814496845,267.6918357288936,273.00515464737174,2781400
2025-05-06,262.21368408203125,269.1655684804372,260.63326113596,268.66139663556885,3253400
2025-05-07,267.44940185546875,268.2638469001041,262.21366680322194,263.755298093705,2363400
2025-05-08,263.7746887207031,266.42165740452754,257.92811227385664,261.2537999810058,3618000
2025-05-09,257.77301025390625,265.1612486286584,257.579111642132,262.4270207758257,3328900
2025-05-12,266.40228271484375,267.6918133824758,254.99028693933778,258.36444197529573,4216800
2025-05-13,262.223388671875,265.58783843234227,260.3617787454883,265.5005500387503,2660700
2025-05-14,254.3018798828125,262.1167057961145,253.47772954332063,261.63191495985865,3933000
2025-05-15,263.4256896972656,263.4256896972656,256.1150344158013,257.23004760217856,3995100
2025-05-16,266.45794677734375,266.5851111019998,261.8802101944081,264.74618362403925,2589300
2025-05-19,269.8227844238281,269.96950100856805,266.05689954467573,266.6242136225968,2189400
2025-05-20,269.0011291503906,270.8498177334381,268.28706867025824,269.88145846854553,2188300
2025-05-21,265.41131591796875,269.5684549607758,264.5994642510109,268.18925936683326,2559700
2025-05-22,265.9590759277344,266.4872854783943,263.2202668702012,265.41131411622774,1919800
2025-05-23,265.7243347167969,266.5655297117523,263.2496154596362,263.5919740613801,2532000
2025-05-27,273.3441162109375,273.5201761026416,267.1524080290048,267.71975192553367,2917100
2025-05-28,272.3170471191406,275.19281149025807,270.57594071798883,272.9234955503269,3863800
2025-05-29,277.3447570800781,277.6186379825487,272.31704998020655,273.1191404270061,2801900
2025-05-30,281.88336181640625,282.49960131547425,274.8993838121221,276.43505718111805,5439200
2025-06-02,282.1670227050781,283.1256207605442,278.54785459743255,279.39887044656786,2394000
2025-06-03,283.24298095703125,285.3851324372174,276.8556608855056,279.28145445154115,2320400
2025-06-04,280.7388916015625,286.8034047830659,280.6215183565515,283.84940199745057,2338300
2025-06-05,280.82696533203125,284.99386543364636,278.76305261612714,280.0737704744548,2522400
2025-06-06,283.9863586425781,287.1555858592939,282.695222955093,283.46794018641197,1996100
2025-06-09,283.64404296875,285.2873283562347,281.2573537794502,284.1233270774049,1967100
2025-06-10,287.0186462402344,289.1803799777049,283.45819453573,283.66359774829505,2441500
2025-06-11,285.43402099609375,288.23154622302684,284.7884382514169,286.8034253708129,1828300
2025-06-12,290.7942810058594,290.9409975655478,286.28499306626895,287.7815616766407,2159700
2025-06-13,288.76953125,292.94622226287913,287.6446643810378,288.2902471577553,2191200
2025-06-16,289.10211181640625,292.2419660464826,286.0698397952494,289.8357245706807,2047600
2025-06-17,283.7124938964844,289.33685834592956,283.3016874705266,287.97724489707764,2515100
